2015-07-16 14:37:32,616 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/ConfigurationManagement/2.1.1-SNAPSHOT/ConfigurationManagement-2.1.1-20150715.070024-177.pom
2015-07-16 14:37:33,039 [DefaultMetadataResolver-4-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/WebDriverBuilder/2.1.1-SNAPSHOT/maven-metadata.xml
2015-07-16 14:37:33,347 [DefaultMetadataResolver-4-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/WebDriverBuilder/2.1.1-SNAPSHOT/maven-metadata.xml
2015-07-16 14:37:33,484 [DefaultMetadataResolver-4-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository-saucelabs.forge.cloudbees.com/release/com/intuit/tools/WebDriverBuilder/2.1.1-SNAPSHOT/maven-metadata.xml
2015-07-16 14:37:33,764 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/WebDriverBuilder/2.1.1-SNAPSHOT/WebDriverBuilder-2.1.1-20150715.113731-170.pom
2015-07-16 14:37:34,084 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/WebDriverBuilder/2.1.1-SNAPSHOT/WebDriverBuilder-2.1.1-20150715.113731-170.pom
2015-07-16 14:37:34,368 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-remote-driver/2.43.1/selenium-remote-driver-2.43.1.pom
2015-07-16 14:37:34,705 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-remote-driver/2.43.1/selenium-remote-driver-2.43.1.pom
2015-07-16 14:37:35,018 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-api/2.43.1/selenium-api-2.43.1.pom
2015-07-16 14:37:35,331 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-api/2.43.1/selenium-api-2.43.1.pom
